TEST_ID,CATEGORY,APPLICATION,INPUT_TYPE,EXPECTED,ACTUAL,RESULT,REASON
I-CONCURRENCY,I-CONCURRENCY,APP_A/APP_B/APP_C,REAL+CONTROLLED,two-worker bound and backpressure,CM11/CM12,PASS,
K-MIGRATION-FAILURE,K-MIGRATION,APP_A/APP_B/APP_C,REAL+CONTROLLED,failure outcomes are not learnable,migration/feedback regressions,PASS,
L-FEEDBACK,L-FEEDBACK,APP_A/APP_B/APP_C,REAL+CONTROLLED,positive/negative/thread updates are isolated,I15/I28/CONTROLLED-P8,PASS,
M-PERSISTENCE,M-PERSISTENCE,APP_A/APP_B/APP_C,REAL+CONTROLLED,feedback state survives restart,I20/I21,PASS,
N-HISTORY,N-HISTORY,APP_A/APP_B/APP_C,REAL+CONTROLLED,"decay, bounded history, atomic cleanup",F21/F26/F27,PASS,
O-GRAPHS,O-GRAPHS,APP_A/APP_B/APP_C,REAL+CONTROLLED,graph counts/files/data integrity,I09/I22/I25,PASS,
P-IDENTIFIERS,P-IDENTIFIERS,APP_A/APP_B/APP_C,REAL+CONTROLLED,identity joins use app identity and PID,I12/CM14/CM16,PASS,
Q-TIMESTAMPS,Q-TIMESTAMPS,APP_A/APP_B/APP_C,REAL+CONTROLLED,chronological timestamps and elapsed values,I13,PASS,
R-UNAVAILABLE,R-UNAVAILABLE,APP_A/APP_B/APP_C,REAL+CONTROLLED,-1/unavailable values remain unavailable,I14/CM17,PASS,
S-RESTART,S-RESTART,APP_A/APP_B/APP_C,REAL+CONTROLLED,runtime and state restart consistency,I21/CM20,PASS,
T-STRESS,T-STRESS,APP_A/APP_B/APP_C,REAL+CONTROLLED,bounded five-application saturation,CM11/CM12,PASS,
U-SHUTDOWN,U-SHUTDOWN,APP_A/APP_B/APP_C,REAL+CONTROLLED,workers join and no orphan jobs,CM20/CM21/I30,PASS,
V-DETERMINISM,V-DETERMINISM,APP_A/APP_B/APP_C,REAL+CONTROLLED,repeated controlled outputs stable,I22/graph regression,PASS,
W-COUNTS,W-COUNTS,APP_A/APP_B/APP_C,REAL+CONTROLLED,phase transition counts recorded,13 final matrix rows,PASS,
X-FAILURE-PROPAGATION,X-FAILURE,APP_A/APP_B/APP_C,REAL+CONTROLLED,invalid inputs stay localized,I17-I19/I24,PASS,
CONTROLLED-FULL,D-CONTROLLED,APP_A/APP_B/APP_C,REAL+CONTROLLED,controlled Phase 4-9 chain completes,"{'classification': 10, 'decision': 3, 'validation': 3, 'migration': 3, 'feedback': 3, 'graphs': 33}",PASS,
Y-MIGRATION-OWNER,Y-STATIC-AUDIT,SYSTEM,STATIC,Phase 7 owns migration syscalls,source ownership checked,PASS,
Y-RUNTIME-BOUNDARY,Y-STATIC-AUDIT,SYSTEM,STATIC,runtime monitor excludes migration/feedback/validation,source ownership checked,PASS,
Y-DISCOVERY-READONLY,Y-STATIC-AUDIT,SYSTEM,STATIC,discovery excludes migration operations,source ownership checked,PASS,
Y-WORKER-GENERIC,Y-STATIC-AUDIT,SYSTEM,STATIC,worker pool excludes migration and adaptive state,source ownership checked,PASS,
Y-GRAPH-READONLY,Y-STATIC-AUDIT,SYSTEM,STATIC,graph generation excludes decision state writes,source ownership checked,PASS,
